concessionaria;ano_do_pnv_snv;tipo_de_radar;rodovia;uf;km_m;municipio;tipo_pista;sentido;situacao;data_da_inativacao;latitude;longitude;velocidade_leve;velocidade_pesado
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;Controlador;BR-101;ES;457,319;Mimoso do Sul;Principal;Crescente;Ativo;;-21,196490;-41,300110;60;60
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;Controlador;BR-101;ES;457,908;Mimoso do Sul;Principal;Decrescente;Ativo;;-21,201800;-41,300830;60;60
ECOPONTE;2017;Controlador;BR-101;RJ;332,720;Niterói;Principal;Decrescente;Ativo;;-22,876172;-43,208744;80;80
ECOPONTE;2017;Controlador;BR-101;RJ;332,720;Niterói;Principal;Crescente;Ativo;;-22,876172;-43,208744;80;80
ECOPONTE;2017;Controlador;BR-101;RJ;329,900;Niterói;Principal;Decrescente;Ativo;;-22,868429;-43,185028;80;80
ECOPONTE;2017;Controlador;BR-101;RJ;329,900;Niterói;Principal;Crescente;Ativo;;-22,868429;-43,185028;80;80
ECOPONTE;2017;Controlador;BR-101;RJ;327,630;Niterói;Principal;Crescente;Ativo;;-22,870416;-43,163312;80;80
ECOPONTE;2017;Controlador;BR-101;RJ;325,940;Niterói;Principal;Decrescente;Ativo;;-22,871861;-43,147095;80;80
ECOPONTE;2017;Controlador;BR-101;RJ;323,700;Niterói;Principal;Decrescente;Ativo;;-22,873872;-43,125076;80;80
ECOPONTE;2017;Controlador;BR-101;RJ;323,700;Niterói;Principal;Crescente;Ativo;;-22,873872;-43,125076;80;80
NOVADUTRA;1999;Controlador;BR-116;RJ;330,100;Resende;Principal;Decrescente;Ativo;;-22,502203;-44,669347;110;90
NOVADUTRA;1999;Controlador;BR-116;RJ;326,950;Itatiaia;Principal;Crescente;Ativo;;-22,496861;-44,643333;110;90
NOVADUTRA;1999;Controlador;BR-116;RJ;300,000;Resende;Principal;Crescente;Ativo;;-22,455553;-44,395486;110;90
NOVADUTRA;1999;Controlador;BR-116;RJ;196,950;Queimados;Principal;Decrescente;Ativo;;-22,731875;-43,619308;110;90
NOVADUTRA;1999;Controlador;BR-116;RJ;190,400;Queimados;Principal;Crescente;Ativo;;-22,733075;-43,556856;110;90
NOVADUTRA;1999;Controlador;BR-116;RJ;167,700;São João de Meriti;Marginal;Crescente;Ativo;;-22,797667;-43,357919;90;90
NOVADUTRA;1999;Controlador;BR-116;RJ;165,400;Rio de Janeiro;Principal;Crescente;Ativo;;-22,808144;-43,339539;100;80
NOVADUTRA;1999;Controlador;BR-116;RJ;165,400;Rio de Janeiro;Principal;Decrescente;Ativo;;-22,808164;-43,338789;100;80
NOVADUTRA;1999;Controlador;BR-116;SP;229,050;São Paulo;Principal;Crescente;Ativo;;-23,510458;-46,573942;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;226,050;Guarulhos;Marginal;Decrescente;Ativo;;-23,493294;-46,552217;90;90
NOVADUTRA;1999;Controlador;BR-116;SP;224,350;Guarulhos;Principal;Decrescente;Ativo;;-23,483692;-46,537947;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;224,350;Guarulhos;Principal;Crescente;Ativo;;-23,483978;-46,538214;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;224,350;Guarulhos;Marginal;Crescente;Ativo;;-23,484439;-46,538936;90;90
NOVADUTRA;1999;Controlador;BR-116;SP;219,670;Guarulhos;Marginal;Decrescente;Ativo;;-23,465306;-46,499017;90;90
NOVADUTRA;1999;Controlador;BR-116;SP;202,600;Arujá;Principal;Crescente;Ativo;;-23,413706;-46,363733;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;197,540;Arujá;Principal;Decrescente;Ativo;;-23,398122;-46,296225;80;80
NOVADUTRA;1999;Controlador;BR-116;SP;192,800;Santa Isabel;Principal;Decrescente;Ativo;;-23,378906;-46,256247;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;176,430;Guararema;Principal;Crescente;Ativo;;-23,321733;-46,111731;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;161,000;Jacareí;Principal;Crescente;Ativo;;-23,274608;-45,973908;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;159,380;Jacareí;Principal;Decrescente;Ativo;;-23,266775;-45,961300;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;146,880;São José dos Campos;Principal;Decrescente;Ativo;;-23,194372;-45,869422;100;80
NOVADUTRA;1999;Controlador;BR-116;SP;143,560;São José dos Campos;Principal;Crescente;Ativo;;-23,179000;-45,839339;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;130,500;Caçapava;Principal;Decrescente;Ativo;;-23,123228;-45,728028;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;130,500;Caçapava;Principal;Crescente;Ativo;;-23,123056;-45,728156;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;116,270;Taubaté;Principal;Crescente;Ativo;;-23,054478;-45,610689;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;110,710;Taubaté;Principal;Decrescente;Ativo;;-23,038453;-45,559767;100;80
NOVADUTRA;1999;Controlador;BR-116;SP;94,300;Pindamonhangaba;Principal;Crescente;Ativo;;-22,961497;-45,423261;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;92,240;Pindamonhangaba;Principal;Decrescente;Ativo;;-22,952789;-45,405394;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;65,400;Guaratinguetá;Principal;Decrescente;Ativo;;-22,821919;-45,196869;100;80
NOVADUTRA;1999;Controlador;BR-116;SP;60,350;Guaratinguetá;Principal;Crescente;Ativo;;-22,792625;-45,163586;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;53,970;Lorena;Principal;Decrescente;Ativo;;-22,757825;-45,114656;110;90
NOVADUTRA;1999;Controlador;BR-116;SP;27,600;Silveiras;Principal;Crescente;Ativo;;-22,622017;-44,909581;80;80
NOVADUTRA;1999;Controlador;BR-116;SP;22,300;Lavrinhas;Principal;Decrescente;Ativo;;-22,585211;-44,879494;80;80
NOVADUTRA;1999;Controlador;BR-116;RJ;191,300;Queimados;Principal;Decrescente;Ativo;;-22,730011;-43,565736;110;90
NOVADUTRA;1999;Controlador;BR-116;RJ;255,600;Piraí;Principal;Decrescente;Ativo;;-22,586206;-44,055903;110;90
NOVADUTRA;1999;Controlador;BR-116;RJ;244,700;Piraí;Principal;Crescente;Ativo;;-22,587061;-43,957775;100;80
NOVADUTRA;1999;Controlador;BR-116;RJ;242,200;Piraí;Principal;Decrescente;Ativo;;-22,599481;-43,942517;100;80
NOVADUTRA;1999;Controlador;BR-116;RJ;231,300;Piraí;Principal;Decrescente;Ativo;;-22,665003;-43,875861;100;80
NOVADUTRA;1999;Controlador;BR-116;RJ;228,100;Piraí;Principal;Crescente;Ativo;;-22,665797;-43,847864;80;80
NOVADUTRA;1999;Controlador;BR-116;RJ;225,100;Paracambi;Principal;Crescente;Ativo;;-22,653067;-43,832506;80;80
NOVADUTRA;1999;Controlador;BR-116;RJ;224,900;Paracambi;Principal;Decrescente;Ativo;;-22,668381;-43,827811;40;40
NOVADUTRA;1999;Controlador;BR-116;RJ;222,800;Paracambi;Principal;Decrescente;Ativo;;-22,679645;-43,838810;40;40
NOVADUTRA;1999;Controlador;BR-116;RJ;222,200;Paracambi;Principal;Decrescente;Ativo;;-22,680353;-43,836042;40;40
NOVADUTRA;1999;Controlador;BR-116;RJ;220,800;Piraí;Principal;Decrescente;Ativo;;-22,682905;-43,827066;40;40
NOVADUTRA;1999;Controlador;BR-116;RJ;219,800;Piraí;Principal;Crescente;Ativo;;-22,673075;-43,817658;80;80
NOVADUTRA;1999;Controlador;BR-116;RJ;209,100;Seropédica;Principal;Decrescente;Ativo;;-22,711969;-43,735439;110;90
NOVADUTRA;1999;Controlador;BR-116;RJ;185,050;Nova Iguaçu;Principal;Crescente;Ativo;;-22,744150;-43,508042;100;80
NOVADUTRA;1999;Controlador;BR-116;RJ;185,050;Nova Iguaçu;Principal;Decrescente;Ativo;;-22,743972;-43,507392;110;90
NOVADUTRA;1999;Controlador;BR-116;RJ;179,690;Nova Iguaçu;Principal;Crescente;Ativo;;-22,740747;-43,455939;100;80
NOVADUTRA;1999;Controlador;BR-116;RJ;179,690;Nova Iguaçu;Principal;Decrescente;Ativo;;-22,740608;-43,455636;100;80
NOVADUTRA;1999;Controlador;BR-116;RJ;176,250;Nova Iguaçu;Principal;Decrescente;Ativo;;-22,757958;-43,429764;100;80
NOVADUTRA;1999;Controlador;BR-116;RJ;174,500;Belford Roxo;Principal;Crescente;Ativo;;-22,765478;-43,414700;100;80
NOVADUTRA;1999;Controlador;BR-116;RJ;174,500;Belford Roxo;Principal;Decrescente;Ativo;;-22,766458;-43,413344;100;80
NOVADUTRA;1999;Controlador;BR-116;RJ;299,600;Resende;Principal;Decrescente;Ativo;;-22,455550;-44,392044;110;90
NOVADUTRA;1999;Controlador;BR-116;RJ;227,100;Piraí;Principal;Decrescente;Ativo;;-22,665702;-43,839252;40;40
NOVADUTRA;1999;Controlador;BR-116;RJ;270,610;Barra Mansa;Principal;Decrescente;Ativo;;-22,562394;-44,170667;80;80
NOVADUTRA;1999;Controlador;BR-116;RJ;270,330;Barra Mansa;Principal;Crescente;Ativo;;-22,562333;-44,167933;100;80
NOVADUTRA;1999;Controlador;BR-116;RJ;264,700;Barra Mansa;Principal;Crescente;Ativo;;-22,563753;-44,122114;100;80
VIA 040;2010;Controlador;BR-40;DF;2,000;Brasília;Principal;Crescente;Ativo;;-15,994078;-47,986100;80;80
VIA 040;2010;Controlador;BR-40;DF;4,700;Brasília;Principal;Decrescente;Ativo;;-16,018344;-47,980934;80;80
VIA 040;2010;Controlador;BR-40;GO;11,900;Luziânia;Principal;Crescente;Ativo;;-16,144233;-47,946132;80;80
VIA 040;2010;Controlador;BR-40;GO;12,800;Luziânia;Principal;Decrescente;Ativo;;-16,151776;-47,938900;80;80
VIA 040;2010;Controlador;BR-40;MG;525,900;Contagem;Principal;Decrescente;Ativo;;-19,893179;-44,049811;110;90
VIA 040;2010;Controlador;BR-40;MG;527,200;Contagem;Principal;Decrescente;Ativo;;-19,904001;-44,048680;110;90
VIA 040;2010;Controlador;BR-40;MG;529,100;Contagem;Principal;Crescente;Ativo;;-19,918180;-44,039531;110;90
VIA 040;2010;Controlador;BR-40;MG;530,300;Contagem;Principal;Crescente;Ativo;;-19,919257;-44,030989;110;90
VIA 040;2010;Controlador;BR-40;MG;531,220;Belo Horizonte;Principal;Decrescente;Ativo;;-19,922010;-44,022183;110;90
VIA 040;2010;Controlador;BR-40;MG;531,800;Belo Horizonte;Principal;Crescente;Ativo;;-19,923580;-44,017749;110;90
VIA 040;2010;Controlador;BR-40;MG;534,000;Belo Horizonte;Principal;Crescente;Ativo;;-19,934738;-44,007665;110;90
VIA 040;2010;Controlador;BR-40;MG;534,250;Belo Horizonte;Principal;Decrescente;Ativo;;-19,936574;-44,007507;70;60
VIA 040;2010;Controlador;BR-40;MG;535,170;Belo Horizonte;Principal;Crescente;Ativo;;-19,945329;-44,008193;80;60
VIA 040;2010;Controlador;BR-40;MG;535,900;Belo Horizonte;Principal;Decrescente;Ativo;;-19,952277;-44,007077;70;60
VIA 040;2010;Controlador;BR-40;MG;537,500;Belo Horizonte;Principal;Crescente;Ativo;;-19,963001;-43,999243;80;60
VIA 040;2010;Controlador;BR-40;MG;538,200;Belo Horizonte;Principal;Crescente;Ativo;;-19,968113;-43,994641;70;60
VIA 040;2010;Controlador;BR-40;MG;539,000;Belo Horizonte;Principal;Crescente;Ativo;;-19,973105;-43,989851;70;60
VIA 040;2010;Controlador;BR-40;MG;540,500;Belo Horizonte;Principal;Decrescente;Ativo;;-19,983881;-43,981234;70;60
VIA 040;2010;Controlador;BR-40;MG;540,500;Belo Horizonte;Principal;Crescente;Ativo;;-19,983673;-43,982115;80;60
VIA 040;2010;Controlador;BR-40;MG;543,200;Belo Horizonte;Principal;Crescente;Ativo;;-19,995968;-43,961251;110;90
VIA BAHIA;2003;Controlador;BR-116;BA;673,800;Jequié;Principal;Crescente;Ativo;;-13,867111;-40,112888;60;60
VIA BAHIA;2003;Controlador;BR-116;BA;674,480;Jequié;Principal;Decrescente;Ativo;;-13,871750;-40,115361;60;60
VIA BAHIA;2003;Controlador;BR-116;BA;817,580;Vitória da Conquista;Principal;Crescente;Ativo;;-14,822305;-40,816194;60;60
VIA BAHIA;2003;Controlador;BR-116;BA;818,995;Vitória da Conquista;Principal;Decrescente;Ativo;;-14,828666;-40,828111;60;60
VIA BAHIA;2003;Controlador;BR-116;BA;828,220;Vitória da Conquista;Principal;Crescente;Ativo;;-14,895388;-40,865250;40;40
VIA BAHIA;2003;Controlador;BR-116;BA;909,600;Cândido Sales;Principal;Crescente;Ativo;;-15,512388;-41,236805;40;40
VIA BAHIA;2003;Controlador;BR-116;BA;909,980;Cândido Sales;Principal;Decrescente;Ativo;;-15,515277;-41,238138;40;40
