data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
19/01/2010;17:54:00;35;com vítima;114,9;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;;;1;;
19/01/2010;11:02:00;18;sem vítima;143,9;BR-116/RJ;Sul;Colisão traseira;;;1;;1;;;;;;22;;;;
19/01/2010;16:34:00;31;sem vítima;144;BR-116/RJ;Sul;Colisão traseira;2;;;;;;;;;;2;;;;
20/01/2010;07:25:00;9;sem vítima;24,1;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;2;;;;
20/01/2010;21:44:00;34;com vítima;99,4;BR-116/RJ;Norte;Choque em barreira New Jersey ;1;;;;;;;;;;;1;;;
20/01/2010;05:35:00;7;sem vítima;122;BR-116/RJ;Norte;Atropelamento de animal;1;;;;;;;;;;1;;;;
21/01/2010;08:55:00;12;com vítima;96;BR-116/RJ;Sul;Colisão traseira;2;;1;;;;;;;;2;1;;;
22/01/2010;18:50:00;31;sem vítima;90,5;BR-116/RJ;Sul;Choque em objeto fixo;1;;;;;;;;;;1;;;;
22/01/2010;20:50:00;34;com vítima;139,2;BR-116/RJ;Sul;Colisão traseira;2;;1;;1;;;;;;16;3;;;
22/01/2010;19:56:00;33;com vítima;141,6;BR-116/RJ;Sul;Colisão traseira;;;2;;;;;;;;1;;;3;
23/01/2010;15:56:00;35;com vítima;29,3;BR-116/RJ;Norte;Capotamento;1;;;;;;;;;;;;1;;
23/01/2010;09:50:00;17;com vítima;139;BR-116/RJ;Sul;Choque em objeto fixo;1;;;;;;;;;;;1;;;
25/01/2010;06:09:00;7;com vítima;54,9;BR-116/RJ;Sul;Derrapagem;;;1;;;;;;;;;;3;;
25/01/2010;23:06:00;60;com vítima;60;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;;1;;;
25/01/2010;15:30:00;35;com vítima;81;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;;;;;;;2;;;
25/01/2010;17:20:00;45;com vítima;102,1;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;2;;1;;
25/01/2010;17:49:00;48;com vítima;137,3;BR-116/RJ;Sul;Colisão traseira;1;;1;;;;;;;;1;;1;;
25/01/2010;19:26:00;54;com vítima;141,1;BR-116/RJ;Sul;Choque em barreira New Jersey ;;;1;;;;;;;;1;1;;;
26/01/2010;13:50:00;13;com vítima;37,5;BR-116/RJ;Sul;Abalroamento longitudinal;1;;;;1;;;;;;2;1;;;
26/01/2010;19:03:00;18;com vítima;51,2;BR-116/RJ;Sul;Capotamento;1;;;;;;;;;;;;;4;
26/01/2010;16:44:00;15;sem vítima;103,9;BR-116/RJ;Sul;Colisão traseira;2;;;;;;;;;;7;;;;
26/01/2010;21:25:00;21;com vítima;122,2;BR-116/RJ;Sul;Atropel. de pedestre atravessando;;;1;;;;;;;;;2;;;
27/01/2010;03:06:00;2;com vítima;126,7;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;;1;;;
27/01/2010;16:54:00;41;sem vítima;138,7;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;;;;;;2;;;;
27/01/2010;18:26:00;49;com vítima;143,2;BR-116/RJ;Sul;Abalroamento transversal;1;1;;;;;;;;;;1;1;;
28/01/2010;21:29:00;37;com vítima;23,6;BR-116/RJ;Sul;Queda de moto;;;;1;;;;;;;;1;;;
28/01/2010;08:10:00;5;com vítima;40,5;BR-116/RJ;Norte;Colisão traseira;2;;;;;;;;;;;5;;;
28/01/2010;04:11:00;3;com vítima;95,1;BR-116/RJ;Norte;Capotamento;;;1;;;;;;;;;2;;;
28/01/2010;11:38:00;11;com vítima;101,5;BR-116/RJ;Sul;Colisão frontal;2;;;;;;;;;;;2;4;;
29/01/2010;15:42:00;41;sem vítima;5,8;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;4;;;;
29/01/2010;20:46:00;58;com vítima;43,2;BR-116/RJ;Norte;Abalroamento longitudinal;2;;;;;;;;;;1;1;;;
29/01/2010;23:36:00;69;com vítima;43,6;BR-116/RJ;Norte;Choque em objeto fixo;;;1;;;;;;;;;;;;1
29/01/2010;04:02:00;2;com vítima;126,8;BR-116/RJ;Norte;Derrapagem;;;1;;;;;;;;;1;;;
29/01/2010;20:48:00;57;sem vítima;142,7;BR-116/RJ;Norte;Abalroamento longitudinal;2;;;;;;;;;;4;;;;
30/01/2010;18:06:00;35;com vítima;77,2;BR-116/RJ;Norte;Queda de moto;;;;1;;;;;;;;1;;;
30/01/2010;18:47:00;39;com vítima;81,7;BR-116/RJ;Sul;Choque em objeto fixo;1;;;;;;;;;;;3;;;
30/01/2010;18:45:00;38;com vítima;90,7;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;;;5;;
30/01/2010;04:31:00;5;com vítima;132,5;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;1;;;
31/01/2010;16:57:00;32;sem vítima;90;BR-116/RJ;Sul;Colisão traseira;1;;1;;;;;;;;0;;;;
31/01/2010;18:41:00;40;sem vítima;90,6;BR-116/RJ;Norte;Colisão traseira;3;;;;;;;;;;3;;;;
31/01/2010;19:18:00;45;com vítima;143,3;BR-116/RJ;Norte;Choque em objeto fixo;;;;1;;;;;;;;2;;;
01/02/2010;11:00:00;9;sem vítima;122,9;BR-116/RJ;Sul;Colisão traseira;2;;;;;;;;;;2;;;;
02/02/2010;15:57:00;37;com vítima;122,5;BR-116/RJ;Sul;Choque em defensa;;;1;;;;;;;;;3;;;
02/02/2010;17:49:00;40;com vítima;61,8;BR-116/RJ;Sul;Queda de moto;;;;1;;;;;;;;2;;;
03/02/2010;01:05:00;2;com vítima;136,9;BR-116/RJ;Sul;Derrapagem;;;;;1;;;;;;;1;;;
03/02/2010;21:41:00;36;com vítima;73,1;BR-116/RJ;Sul;Atropelamento de animal;;;;1;;;;;;;;;1;;
04/02/2010;06:19:00;5;sem vítima;132;BR-116/RJ;Sul;Queda de moto;;;;1;;;;;;;1;;;;
04/02/2010;06:30:00;7;com vítima;10;BR-116/RJ;Sul;Atropelamento de animal;1;;;;;;;;;;3;1;;;
04/02/2010;13:46:00;29;sem vítima;133,4;BR-116/RJ;Sul;Colisão traseira;1;;1;;;;;;;;2;;;;
04/02/2010;17:22:00;46;com vítima;72,3;BR-116/RJ;Norte;Derrapagem;1;;1;;;;;;;;4;2;;;
04/02/2010;19:34:00;52;sem vítima;33,2;BR-116/RJ;Norte;Derrapagem;;;1;;;;;;;;1;;;;
05/02/2010;07:49:00;6;com vítima;109,5;BR-116/RJ;Sul;Colisão traseira;;;2;;;;;;;;2;1;;;
05/02/2010;10:39:00;11;sem vítima;124,9;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;1;;;;
05/02/2010;11:10:00;12;com vítima;128,9;BR-116/RJ;Norte;Queda de moto;;;;1;;;;;;;;;1;;
05/02/2010;17:47:00;27;com vítima;107;BR-116/RJ;Norte;Queda de moto;;;;1;;;;;;;;1;;;
05/02/2010;18:02:00;29;sem vítima;103,8;BR-116/RJ;Sul;Colisão traseira;2;;;;;;;;;;2;;;;
05/02/2010;19:55:00;39;com vítima;116,2;BR-116/RJ;Norte;Choque em veículo parado na pista;2;;;;;;;;;;;2;;;
05/02/2010;20:51:00;44;com vítima;139;BR-116/RJ;Sul;Abalroamento longitudinal;2;;;;;;;;;;2;3;;;
06/02/2010;00:11:00;1;com vítima;28,2;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;2;;;
06/02/2010;18:39:00;43;com vítima;8,15;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;6;;;
07/02/2010;05:05:00;2;sem vítima;101,9;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;;;;;;1;;;;
07/02/2010;10:39:00;8;com vítima;40,3;BR-116/RJ;Sul;Abalroamento transversal;2;;;;;;;;;;1;1;;;
07/02/2010;12:20:00;17;sem vítima;66,9;BR-116/RJ;Sul;Abalroamento longitudinal;1;;;;1;;;;;;2;;;;
07/02/2010;19:31:00;29;com vítima;139,15;BR-116/RJ;Norte;Queda de moto;;;;1;;;;;;;;2;;;
08/02/2010;08:18:00;11;sem vítima;143,3;BR-116/RJ;Sul;Colisão traseira;3;;;;;;;;;;3;;;;
08/02/2010;08:35:00;12;com vítima;142,6;BR-116/RJ;Sul;Colisão traseira;1;;1;;1;;;;;;2;;1;;
08/02/2010;14:25:00;25;com vítima;2,4;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;;;;;;3;2;;;
08/02/2010;15:21:00;30;com vítima;14;BR-116/RJ;Sul;Abalroamento longitudinal;1;;1;;;;;;;;;3;;;
08/02/2010;16:24:00;34;com vítima;124,2;BR-116/RJ;Sul;Abalroamento longitudinal;1;;1;;;;;;;;;2;1;;
09/02/2010;06:14:00;8;sem vítima;94,95;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;2;;;;
09/02/2010;08:10:00;13;com vítima;64,95;BR-116/RJ;Sul;Choque em objeto fixo;1;;;;;;;;;;;2;;;
10/02/2010;18:13:00;38;sem vítima;122;BR-116/RJ;Norte;Abalroamento longitudinal;;;1;;1;;;;;;2;;;;
10/02/2010;08:59:00;17;com vítima;86,3;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;;2;;;
11/02/2010;07:10:00;16;sem vítima;100,6;BR-116/RJ;Norte;Abalroamento longitudinal;1;;;;1;;;;;;5;;;;
11/02/2010;11:58:00;25;sem vítima;134,4;BR-116/RJ;Sul;Abalroamento longitudinal;1;;1;;;;;;;;3;;;;
12/02/2010;11:02:00;20;sem vítima;124,6;BR-116/RJ;Norte;Abalroamento longitudinal;1;;1;;;;;;;;2;;;;
12/02/2010;13:50:00;31;sem vítima;94;BR-116/RJ;Norte;Abalroamento longitudinal;2;; ;;;;;;;;2;;;;
12/02/2010;13:49:00;33;sem vítima;133,6;BR-116/RJ;Norte;Colisão traseira;2;;;;;;;;;;8;;;;
12/02/2010;14:36:00;35;com vítima;120,5;BR-116/RJ;Norte;Queda de moto; ;;;1;;;;;;;;1;;;
12/02/2010;14:50:00;36;sem vítima;90,8;BR-116/RJ;Sul;Colisão traseira;2;;; ;;;;;;;2;;;;
12/02/2010;15:53:00;42;sem vítima;128,4;BR-116/RJ;Norte;Abalroamento longitudinal;2;;;;;;;;;;8;;;;
12/02/2010;16:10:00;44;com vítima;93;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;2;;;
12/02/2010;16:46:00;48;com vítima;75,3;BR-116/RJ;Sul;Queda de moto;;;;1;;;;;;;;;2;;
13/02/2010;01:49:00;10;com vítima;131,035;BR-116/RJ;Sul;Abalroamento transversal;1;;;1;;;;;;;1;1;1;2;
13/02/2010;10:26:00;28;sem vítima;1,9;BR-116/RJ;Norte;Colisão traseira;2;;;;;;;;;;2;;;;
13/02/2010;09:05:00;23;com vítima;133,8;BR-116/RJ;Norte;Colisão traseira;2;;1;;;;;;;;2;;5;;
13/02/2010;12:21:00;37;com vítima;101,98;BR-116/RJ;Norte;Colisão traseira;2;;;;;;;;;;;4;;;
14/02/2010;02:53:00;6;com vítima;139,8;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;1;1;;;
14/02/2010;07:34:00;18;com vítima;130,75;BR-116/RJ;Sul;Colisão traseira;2;;;;;;;;;;2;1;;;
14/02/2010;07:50:00;19;com vítima;141,4;BR-116/RJ;Sul;Queda de moto;;;;1;;;;;;;;1;1;;
14/02/2010;11:50:00;39;sem vítima;10,05;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;2;;;;
14/02/2010;11:43:00;43;sem vítima;122,95;BR-116/RJ;Norte;Colisão traseira;2;;;;;;;;;;10;;;;
15/02/2010;10:40:00;17;sem vítima;133,5;BR-116/RJ;Norte;Abalroamento longitudinal;1;;1;;;;;;;;6;;;;
15/02/2010;17:24:00;41;sem vítima;132,5;BR-116/RJ;Sul;Abalroamento longitudinal;2;;;;;;;;;;2;;;;
16/02/2010;08:50:00;14;sem vítima;102,5;BR-116/RJ;Sul;Abalroamento longitudinal;2;;;;;;;;;;5;;;;
16/02/2010;20:12:00;83;com vítima;134,1;BR-116/RJ;Norte;Colisão traseira;1;;;1;;;;;;;;2;;;
16/02/2010;20:45:00;87;com vítima;131;BR-116/RJ;Norte;Atropelamento de animal;1;;;;;1;;;;;;3;;;
17/02/2010;07:14:00;9;com vítima;119;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;9;;;
17/02/2010;07:45:00;12;sem vítima;6,7;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;2;;;;
17/02/2010;16:38:00;36;com vítima;142,3;BR-116/RJ;Sul;Colisão traseira;2;;;;;;;;;;1;2;;;
18/02/2010;05:37:00;3;sem vítima;139,95;BR-116/RJ;Sul;Colisão traseira;2;;;;;;;;;;2;;;;
18/02/2010;05:43:00;4;com vítima;139,6;BR-116/RJ;Sul;Colisão traseira;2;;2;;1;;;;;;3;2;2;;
18/02/2010;06:00:00;6;sem vítima;72,5;BR-116/RJ;Sul;Abalroamento longitudinal;2;;;;;;;;;;2;;;;
18/02/2010;06:05:00;7;com vítima;85,8;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;;;;;;1;;1;;
18/02/2010;07:31:00;9;sem vítima;123;BR-116/RJ;Norte;Choque em defensa;1;;;;;;;;;;1;;;;
18/02/2010;10:25:00;15;sem vítima;139,3;BR-116/RJ;Sul;Colisão frontal;;;2;;;;;;;;2;;;;
18/02/2010;10:53:00;16;sem vítima;81,01;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;2;;;;
18/02/2010;12:00:00;28;com vítima;141,5;BR-116/RJ;Sul;Choque em defensa;;;2;;;;;;;;2;1;;;
18/02/2010;23:56:00;42;com vítima;141,2;BR-116/RJ;Sul;Choque em defensa;;;1;;;;;;;;;;2;;
19/02/2010;01:20:00;1;com vítima;143,4;BR-116/RJ;Norte;Colisão traseira;2;;;;;;;;;;2;1;;;
19/02/2010;10:10:00;9;sem vítima;22,5;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;1;;;;
19/02/2010;16:10:00;19;com vítima;90;BR-116/RJ;Norte;Colisão traseira;1;;1;;;;;;;;1;;1;;
19/02/2010;20:37:00;26;com vítima;81,8;BR-116/RJ;Norte;Capotamento;1;;;;;;;;;;;;;1;
19/02/2010;22:15:00;32;sem vítima;101;BR-116/RJ;Sul;Abalroamento longitudinal;2;;;;;;;;;;4;;;;
21/02/2010;07:06:00;3;sem vítima;106,3;BR-116/RJ;Sul;Queda de carga;;;1;;;;;;;;1;;;;
21/02/2010;18:17:00;17;com vítima;113,7;BR-116/RJ;Sul;Atropel. de pedestre atravessando;1;;;;;;;;;;1;;1;;
21/02/2010;21:24:00;23;com vítima;62,1;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;;1;;
22/02/2010;02:33:00;1;com vítima;93,7;BR-116/RJ;Sul;Choque em barreira New Jersey ;1;;;;;;;;;;;;2;;
22/02/2010;12:05:00;15;com vítima;6,7;BR-116/RJ;Sul;Colisão frontal;2;;;;;;;;;;;;;3;
22/02/2010;11:58:00;16;sem vítima;84,2;BR-116/RJ;Norte;Colisão traseira;2;;;;;;;;;;2;;;;
22/02/2010;17:06:00;44;com vítima;141,95;BR-116/RJ;Sul;Abalroamento transversal;1;;;1;;;;;;;1;;;;1
22/02/2010;18:59:00;47;sem vítima;133,7;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;;;;;;1;;;;
23/02/2010;19:38:00;40;com vítima;61,05;BR-116/RJ;Sul;Derrapagem;;;1;;;;;;;;;1;;;
23/02/2010;21:18:00;49;com vítima;138,5;BR-116/RJ;Norte;Abalroamento longitudinal;;;;1;;;;;;;;;1;;
23/02/2010;14:36:00;21;com vítima;99;BR-116/RJ;Sul;Abalroamento longitudinal;;;;;1;;;;;;1;1;;;
23/02/2010;08:39:00;5;sem vítima;133,5;BR-116/RJ;Norte;Abalroamento longitudinal;1;;1;;;;;;;;2;;;;
23/02/2010;06:25:00;3;sem vítima;143,2;BR-116/RJ;Sul;Abalroamento longitudinal;;;1;;1;;;;;;2;;;;
24/02/2010;15:30:00;28;com vítima;92,85;BR-116/RJ;Sul;Colisão traseira;4;;;;;;;;;;3;1;;;
24/02/2010;17:28:00;34;com vítima;5,7;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;;;1;;
