data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
21/01/2010;07:00:00;27;com vítima;64,3;BR-153/SP;Norte;Tombamento de Moto;;;;1;;;;;;;0;1;;;
21/01/2010;07:32:00;24;sem vítima;64,4;BR-153/SP;Norte;Colisão Traseira;1;;;1;;;;;;;2;;;;
21/01/2010;20:47:00;98;sem vítima;140,7;BR-153/SP;Norte;Saída de Pista;1;;;;;;;;;;1;;;;
21/01/2010;22:18:00;106;com vítima;212,8;BR-153/SP;Norte;Capotamento;;;;;;;;;;1;0;1;;;
21/01/2010;10:05:00;39;com vítima;274,4;BR-153/SP;Norte;Colisão Lateral;;;2;;;;;;;;1;1;;;
22/01/2010;19:09:00;80;sem vítima;184,9;BR-153/SP;Norte;Colisão Traseira;;;1;;1;;;;;;2;;;;
23/01/2010;15:05:00;88;sem vítima;28,1;BR-153/SP;Sul;Colisão Lateral;;;2;;;;;;;;2;;;;
23/01/2010;23:02:00;87;sem vítima;148;BR-153/SP;Sul;Saída de Pista;1;;;;;;;;;;1;;;;
24/01/2010;18:19:00;60;com vítima;66,4;BR-153/SP;Norte;Colisão Traseira;2;;;1;;;;;;;2;1;;;
24/01/2010;00:05:00;87;sem vítima;147,8;BR-153/SP;Sul;Saída de Pista;1;;;;;;;;;;1;;;;
24/01/2010;07:32:00;12;com vítima;171;BR-153/SP;Norte;Colisão Lateral;1;;1;;;;;;;;1;;1;1;
24/01/2010;23:35:00;84;sem vítima;256;BR-153/SP;Sul;Choque contra Objeto Fixo;1;;;;;;;;;;1;;;;
24/01/2010;23:39:00;85;com vítima;256;BR-153/SP;Sul;Tombamento de Moto;;;;1;;;;;;;0;1;;;
24/01/2010;19:24:00;64;sem vítima;333,5;BR-153/SP;Sul;Saída de Pista;2;;;;;;;;;;2;;;;
26/01/2010;07:34:00;7;sem vítima;107;BR-153/SP;Norte;Colisão Traseira;;;;2;;;;;;;2;;;;
26/01/2010;08:04:00;12;sem vítima;183,7;BR-153/SP;Norte;;;;;;;;;;;1;1;;;;
27/01/2010;11:32:00;31;sem vítima;52;BR-153/SP;Norte;Colisão Lateral;2;;;;;;;;;;2;;;;
27/01/2010;03:46:00;7;sem vítima;96;BR-153/SP;Sul;Saída de Pista;;;1;;;;;;;;2;;;;
27/01/2010;01:50:00;4;sem vítima;161,8;BR-153/SP;Sul;Choque contra Objeto Fixo;;;;;;;;;;1;1;;;;
27/01/2010;08:30:00;19;sem vítima;274,2;BR-153/SP;Norte;Tombamento;;;1;;;;;;;;1;;;;
28/01/2010;22:33:00;95;com vítima;52,2;BR-153/SP;Norte;Tombamento de Moto;;;;1;;;;;;;0;1;;;
28/01/2010;08:23:00;15;sem vítima;177,5;BR-153/SP;Sul;Colisão Traseira;2;;;;;;;;;;2;;;;
28/01/2010;01:22:00;105;sem vítima;183,2;BR-153/SP;Norte;Choque contra Objeto Fixo;;;;;;;;;;1;1;;;;
28/01/2010;15:38:00;56;sem vítima;228,5;BR-153/SP;Sul;Saída de Pista;;;;;;;;;;1;1;;;;
28/01/2010;17:30:00;71;sem vítima;268;BR-153/SP;Sul;Choque contra Objeto Fixo;;;1;;;;;;;;1;;;;
28/01/2010;15:11:00;51;com vítima;290,1;BR-153/SP;Norte;Capotamento;1;;;;;;;;;;0;4;;;
29/01/2010;20:36:00;95;sem vítima;35,8;BR-153/SP;Sul;Colisão Traseira;1;;;;;;;;;1;4;;;;
