concessionaria;ano_do_pnv_snv;rodovia_uf;tipo_pista;sentido;tipo_perfil_de_terreno;km_m_inicial;latitude_inicial;longitude_inicial;latitude_final;km_m_final;longitude_final
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,112;-19,962523;-44,157044;-19,962813;0,161;-44,157272
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,162;-19,962813;-44,157272;-19,963102;0,191;-44,157501
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,192;-19,963102;-44,157501;-19,963682;0,281;-44,157957
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,282;-19,963682;-44,157957;-19,963828;0,291;-44,158070
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,292;-19,963828;-44,158070;-19,964427;0,384;-44,158498
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,385;-19,964427;-44,158498;-19,964581;0,395;-44,158598
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,396;-19,964581;-44,158598;-19,965541;0,512;-44,159129
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,513;-19,965541;-44,159129;-19,966552;0,630;-44,159543
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;0,631;-19,966552;-44,159543;-19,969031;0,919;-44,160048
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;0,920;-19,969031;-44,160048;-19,969569;0,971;-44,160113
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;0,972;-19,969569;-44,160113;-19,970647;1,101;-44,160241
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;1,102;-19,970647;-44,160241;-19,970826;1,114;-44,160263
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;1,115;-19,970826;-44,160263;-19,971186;1,167;-44,160306
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;1,168;-19,971186;-44,160306;-19,971904;1,234;-44,160392
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;1,235;-19,971904;-44,160392;-19,973315;1,410;-44,160545
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Plano;1,411;-19,973315;-44,160545;-19,984510;2,939;-44,167013
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;2,940;-19,984510;-44,167013;-19,985287;3,087;-44,168069
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;3,088;-19,985287;-44,168069;-19,986501;3,401;-44,170936
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;3,402;-19,986501;-44,170936;-19,986543;3,514;-44,172082
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;3,515;-19,986543;-44,172082;-19,986599;3,684;-44,173610
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Plano;3,685;-19,986599;-44,173610;-19,986773;4,183;-44,178386
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;4,184;-19,986773;-44,178386;-19,986787;4,223;-44,178768
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;4,224;-19,986787;-44,178768;-19,986843;4,386;-44,180296
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Plano;4,387;-19,986843;-44,180296;-19,986885;4,497;-44,181442
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;4,498;-19,986885;-44,181442;-19,987255;4,813;-44,184578
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Plano;4,814;-19,987255;-44,184578;-19,987307;4,845;-44,184761
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;4,846;-19,987307;-44,184761;-19,987738;4,955;-44,185813
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;4,956;-19,987738;-44,185813;-19,987816;4,978;-44,185986
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;4,979;-19,987816;-44,185986;-19,988049;5,030;-44,186503
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;5,031;-19,988049;-44,186503;-19,989393;5,426;-44,189493
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Plano;5,427;-19,989393;-44,189493;-19,989592;5,867;-44,193600
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;5,868;-19,989592;-44,193600;-19,989535;5,881;-44,193782
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;5,882;-19,989535;-44,193782;-19,989332;5,942;-44,194313
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;5,943;-19,989332;-44,194313;-19,989175;5,988;-44,194658
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Plano;5,989;-19,989175;-44,194658;-19,985936;6,850;-44,202823
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;6,851;-19,985936;-44,202823;-19,985862;6,878;-44,202997
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;6,879;-19,985862;-44,202997;-19,985787;6,890;-44,203171
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;6,891;-19,985787;-44,203171;-19,985564;6,952;-44,203694
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Plano;6,953;-19,985564;-44,203694;-19,985351;7,010;-44,204221
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;7,011;-19,985351;-44,204221;-19,985283;7,037;-44,204398
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Plano;7,038;-19,985283;-44,204398;-19,984690;7,217;-44,206000
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;7,218;-19,984690;-44,206000;-19,984636;7,238;-44,206147
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;7,239;-19,984636;-44,206147;-19,984419;7,299;-44,206709
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;7,300;-19,984419;-44,206709;-19,984348;7,314;-44,206885
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;7,315;-19,984348;-44,206885;-19,984278;7,338;-44,207061
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;7,339;-19,984278;-44,207061;-19,984207;7,371;-44,207237
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;7,372;-19,984207;-44,207237;-19,993329;7,400;-44,207884
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;0,014;-19,962198;-44,156145;-19,962547;0,073;-44,156584
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;0,074;-19,962547;-44,156584;-19,962668;0,106;-44,156725
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;0,107;-19,962668;-44,156725;-19,962792;0,113;-44,156864
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;0,114;-19,962792;-44,156864;-19,963179;0,187;-44,157266
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;0,188;-19,963179;-44,157266;-19,963587;0,247;-44,157643
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;0,248;-19,963587;-44,157643;-19,966744;0,642;-44,159456
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;0,643;-19,966744;-44,159456;-19,971561;1,170;-44,160225
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;1,171;-19,971561;-44,160225;-19,973330;1,417;-44,160429
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Plano;1,418;-19,973330;-44,160429;-19,984659;2,955;-44,167017
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;2,956;-19,984659;-44,167017;-19,984770;2,973;-44,167168
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;2,974;-19,984770;-44,167168;-19,985436;3,096;-44,168073
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;3,097;-19,985436;-44,168073;-19,986611;3,403;-44,170859
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;3,404;-19,986611;-44,170859;-19,986659;3,534;-44,172196
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;3,535;-19,986659;-44,172196;-19,986715;3,693;-44,173724
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Plano;3,694;-19,986715;-44,173724;-19,986875;4,162;-44,178118
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;4,163;-19,986875;-44,178118;-19,986986;4,488;-44,181174
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;4,489;-19,986986;-44,181174;-19,987000;4,527;-44,181556
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;4,528;-19,987000;-44,181556;-19,987556;4,888;-44,185111
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;4,889;-19,987556;-44,185111;-19,988094;5,023;-44,186322
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;5,024;-19,988094;-44,186322;-19,988250;5,051;-44,186667
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;5,052;-19,988250;-44,186667;-19,988640;5,150;-44,187530
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;5,151;-19,988640;-44,187530;-19,989564;5,434;-44,189612
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;5,435;-19,989564;-44,189612;-19,989920;5,595;-44,191090
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Plano;5,596;-19,989920;-44,191090;-19,989855;5,799;-44,192993
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;5,800;-19,989855;-44,192993;-19,989725;5,864;-44,193549
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;5,865;-19,989725;-44,193549;-19,988624;6,087;-44,195967
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Plano;6,088;-19,988624;-44,195967;-19,988179;6,218;-44,197211
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;6,219;-19,988179;-44,197211;-19,988095;6,308;-44,197971
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;6,309;-19,988095;-44,197971;-19,988075;6,322;-44,198161
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;6,323;-19,988075;-44,198161;-19,987969;6,395;-44,198917
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;6,396;-19,987969;-44,198917;-19,987786;6,458;-44,199455
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;6,459;-19,987786;-44,199455;-19,987703;6,475;-44,199625
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;6,476;-19,987703;-44,199625;-19,986989;6,614;-44,200739
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Plano;6,615;-19,986989;-44,200739;-19,985809;6,897;-44,203178
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;6,898;-19,985809;-44,203178;-19,985552;6,971;-44,203810
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Plano;6,972;-19,985552;-44,203810;-19,985495;7,001;-44,203961
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;7,002;-19,985495;-44,203961;-19,985289;7,055;-44,204522
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;7,056;-19,985289;-44,204522;-19,984699;7,249;-44,206126
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;7,250;-19,984699;-44,206126;-19,984598;7,278;-44,206399
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Ondulado;7,279;-19,984598;-44,206399;-19,984398;7,317;-44,206915
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;7,318;-19,984398;-44,206915;-19,984290;7,352;-44,207188
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Perfil Montanhoso;7,353;-19,984290;-44,207188;-19,993329;7,400;-44,207884
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Montanhoso;0,151;-21,222646;-41,309505;-21,224394;0,400;-41,311001
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;0,686;-21,226767;-41,312043;-21,227902;0,935;-41,314058
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;0,401;-21,224401;-41,311005;-21,226761;0,685;-41,312035
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;0,936;-21,227903;-41,314070;-21,229387;1,200;-41,316417
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;1,201;-21,229395;-41,316425;-21,232354;1,550;-41,317533
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;1,551;-21,232363;-41,317534;-21,235912;2,000;-41,320013
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;2,131;-21,236823;-41,320805;-21,238596;2,435;-41,323039
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;2,001;-21,235921;-41,320019;-21,236817;2,130;-41,320796
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;2,436;-21,238600;-41,323048;-21,241621;2,880;-41,325802
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;2,881;-21,241635;-41,325802;-21,244535;3,200;-41,326361
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;3,201;-21,244545;-41,326362;-21,245726;3,332;-41,326414
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;3,333;-21,245736;-41,326413;-21,247311;3,508;-41,326446
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;3,509;-21,247321;-41,326445;-21,248665;3,658;-41,326482
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;3,659;-21,248674;-41,326482;-21,253182;4,184;-41,325365
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;4,185;-21,253192;-41,325358;-21,260340;5,035;-41,326502
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;5,721;-21,266427;-41,327389;-21,268009;5,900;-41,327073
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;5,036;-21,260350;-41,326502;-21,266418;5,720;-41,327393
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;5,901;-21,268020;-41,327070;-21,270782;6,200;-41,326464
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;6,201;-21,270794;-41,326459;-21,271684;6,300;-41,326468
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;6,301;-21,271698;-41,326470;-21,275752;6,764;-41,326069
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;6,765;-21,275761;-41,326060;-21,277565;7,050;-41,324137
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;7,257;-21,278871;-41,322683;-21,279995;7,440;-41,321408
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;7,051;-21,277575;-41,324125;-21,278869;7,256;-41,322695
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;146,761;-22,226400;-41,774740;-22,229240;147,150;-41,777540
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;147,151;-22,229240;-41,777540;-22,231330;147,510;-41,780050
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;147,511;-22,231330;-41,780050;-22,232660;148,000;-41,784420
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;148,001;-22,232660;-41,784420;-22,232340;148,175;-41,786050
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;148,176;-22,232340;-41,786050;-22,231810;148,290;-41,787010
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;8,565;-21,289143;-41,319086;-21,292581;8,950;-41,318661
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;148,291;-22,231810;-41,787010;-22,232240;148,580;-41,789600
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Ondulado;7,789;-21,282841;-41,320393;-21,285888;8,150;-41,320969
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;8,951;-21,292593;-41,318659;-21,294783;9,200;-41,318601
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Ondulado;8,151;-21,285896;-41,320963;-21,289130;8,564;-41,319094
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;7,441;-21,280005;-41,321394;-21,282826;7,788;-41,320390
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;9,201;-21,294795;-41,318598;-21,297399;9,490;-41,318502
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;148,581;-22,232240;-41,789600;-22,234070;148,840;-41,791220
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;10,106;-21,302873;-41,319310;-21,305727;10,470;-41,320915
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;149,061;-22,235170;-41,792790;-22,237690;149,675;-41,798120
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;9,729;-21,299566;-41,318460;-21,302862;10,105;-41,319310
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;9,491;-21,297407;-41,318499;-21,299555;9,728;-41,318455
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;10,951;-21,307478;-41,325121;-21,311005;11,358;-41,325262
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;10,471;-21,305733;-41,320924;-21,307470;10,950;-41,325112
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;154,751;-22,259300;-41,839180;-22,259670;155,015;-41,841420
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;155,871;-22,262110;-41,849210;-22,263170;156,110;-41,851220
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;11,359;-21,311018;-41,325253;-21,314722;11,774;-41,325304
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;156,111;-22,263170;-41,851220;-22,264290;156,290;-41,852500
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;12,174;-21,318151;-41,326483;-21,319852;12,400;-41,327682
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;11,775;-21,314732;-41,325307;-21,316386;11,966;-41,325816
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;11,967;-21,316394;-41,325817;-21,318139;12,173;-41,326478
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;12,701;-21,322126;-41,329271;-21,325886;13,165;-41,330868
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;156,981;-22,266590;-41,858370;-22,266890;157,080;-41,859290
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Ondulado;13,166;-21,325895;-41,330867;-21,329043;13,515;-41,330794
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;13,516;-21,329051;-41,330794;-21,331613;13,815;-41,331669
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;157,651;-22,268650;-41,864500;-22,269340;157,870;-41,866490
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;12,401;-21,319860;-41,327688;-21,322110;12,700;-41,329262
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;13,816;-21,331622;-41,331675;-21,333914;14,085;-41,332508
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;157,871;-22,269340;-41,866490;-22,270180;158,100;-41,868280
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;158,101;-22,270180;-41,868280;-22,270810;158,200;-41,868980
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;158,201;-22,270810;-41,868980;-22,272690;158,450;-41,870300
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;14,951;-21,340995;-41,335411;-21,342094;15,077;-41,335745
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;14,301;-21,335872;-41,332615;-21,338028;14,550;-41,333199
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;15,301;-21,344124;-41,335695;-21,347264;15,650;-41,335553
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;14,086;-21,333924;-41,332504;-21,335861;14,300;-41,332612
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;14,551;-21,338039;-41,333203;-21,340985;14,950;-41,335404
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;15,078;-21,342104;-41,335741;-21,344106;15,300;-41,335695
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;160,926;-22,293440;-41,879260;-22,293990;161,060;-41,879500
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;162,121;-22,304070;-41,884340;-22,305410;162,460;-41,886140
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;162,461;-22,305410;-41,886140;-22,306160;162,620;-41,887150
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;15,651;-21,347277;-41,335553;-21,348762;15,816;-41,335494
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;15,817;-21,348775;-41,335487;-21,351329;16,100;-41,335042
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;170,036;-22,356970;-41,930970;-22,359190;170,375;-41,932270
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;170,376;-22,359190;-41,932270;-22,366510;171,230;-41,937580
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;171,231;-22,366510;-41,937580;-22,366910;171,520;-41,938350
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;171,521;-22,366910;-41,938350;-22,367060;171,558;-41,938850
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;171,559;-22,367060;-41,938850;-22,367860;172,350;-41,946490
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;172,351;-22,367860;-41,946490;-22,372730;173,360;-41,954090
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;16,101;-21,351348;-41,335031;-21,352148;16,200;-41,334637
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;16,777;-21,356468;-41,335970;-21,357707;16,994;-41,337245
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;16,201;-21,352165;-41,334628;-21,353385;16,351;-41,334043
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;16,995;-21,357707;-41,337246;-21,359819;17,250;-41,338266
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;17,959;-21,366129;-41,337965;-21,369255;18,286;-41,338047
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;18,287;-21,369264;-41,338051;-21,370599;18,468;-41,339033
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;16,352;-21,353400;-41,334035;-21,356459;16,776;-41,335963
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;173,361;-22,372730;-41,954090;-22,374560;173,900;-41,957700
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Perfil Plano;18,469;-21,370611;-41,339042;-21,371757;18,643;-41,340181
